Variable,Niveau,Libelle,,,
GarageCond,TA,Average/Typical,,,
GarageCond,Fa,Fair,,,
GarageCond,Po,Poor,,,
GarageCond,NA,No Garage,,,
PavedDrive,Y,Paved,,,
PavedDrive,P,Partial Pavement,,,
PavedDrive,N,Dirt/Gravel,,,
PoolQC,Ex,Excellent,,,
PoolQC,Gd,Good,,,
PoolQC,TA,Average/Typical,,,
PoolQC,Fa,Fair,,,
PoolQC,NA,No Pool,,,
Fence,GdPrv,Good Privacy,,,
Fence,MnPrv,Minimum Privacy,,,
Fence,GdWo,Good Wood,,,
Fence,MnWw,Minimum Wood/Wire,,,
Fence,NA,No Fence,,,
MiscFeature,Elev,Elevator,,,
MiscFeature,Gar2,2nd Garage (if not described in garage section),,,
MiscFeature,Othr,Other,,,
MiscFeature,Shed,Shed (over 100 SF),,,
MiscFeature,TenC,Tennis Court,,,
MiscFeature,NA,None,,,
SaleType,WD,Warranty Deed - Conventional,,,
SaleType,CWD,Warranty Deed - Cash,,,
SaleType,VWD,Warranty Deed - VA Loan,,,
SaleType,New,Home just constructed and sold,,,
SaleType,COD,Court Officer Deed/Estate,,,
SaleType,Con,Contract 15% Down payment regular terms,,,
SaleType,ConLw,Contract Low Down payment and low interest,,,
SaleType,ConLI,Contract Low Interest,,,
SaleType,ConLD,Contract Low Down,,,
SaleType,Oth,Other,,,
SaleCondition,Normal,Normal Sale,,,
SaleCondition,Abnorml,Abnormal Sale -  trade, foreclosure, short sale,
SaleCondition,AdjLand,Adjoining Land Purchase,,,
SaleCondition,Alloca,Allocation - two linked properties with separate deeds, typically condo with a garage unit,,
SaleCondition,Family,Sale between family members,,,
SaleCondition,Partial,Home was not completed when last assessed (associated with New Homes),,,
